""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000000439"	155.100656899634	-0.72109840272057	0.293048348773377	-2.46068065470731	0.0138673737454866	0.0266970528569572
"ENSMUSG00000000440"	56.141912724231	-2.25841503854719	0.475398328379877	-4.75057421056508	2.02839836286321e-06	7.09531484376023e-06
"ENSMUSG00000000441"	1464.5253882572	-0.335502492387944	0.17243058460915	-1.94572496026984	0.0516877867117511	0.0855676582033972
"ENSMUSG00000000486"	49.7191259375086	2.85841166873803	0.581878372469709	4.91238685604668	8.9974305372936e-07	3.26300982852711e-06
"ENSMUSG00000000489"	20.2761710685925	-0.530149261507614	0.730210258842521	-0.726022751786547	0.467824822972318	0.556319397541666
"ENSMUSG00000000530"	52.7504053084239	-1.08455160280093	0.471682090874708	-2.29932749998985	0.0214863493874963	0.0394140521732638
"ENSMUSG00000000531"	20.9755254477092	-1.37589359267301	0.718205164732085	-1.91573892842481	0.0553983347389094	0.0909126441116236
"ENSMUSG00000000532"	213.993271575796	-0.60597534833931	0.274033405135971	-2.2113192661261	0.0270137361176123	0.0483115563994866
"ENSMUSG00000000538"	254.455402180058	-1.28149471870018	0.249834933225956	-5.12936562614793	2.90720203574709e-07	1.11362460244464e-06
"ENSMUSG00000000544"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000552"	76.9990058902866	-4.35140428715465e-05	0.443534599028683	-9.81074373156905e-05	0.999921721590591	0.999929478052746
"ENSMUSG00000000555"	435.678312310446	-0.0401778571469548	0.221366804733567	-0.18149901560585	0.85597590575325	0.893310561866343
"ENSMUSG00000000560"	0.257377601618002	1.4338579740318	4.93603249375285	0.290487952793367	0.771442965921313	NA
"ENSMUSG00000000561"	324.375715320345	0.111655511219875	0.232952733639529	0.479305434520682	0.631721356571912	0.705763296132001
"ENSMUSG00000000562"	6.01200349671906	4.28724669866671	1.87142302779045	2.2909019687166	0.0219690841035843	0.0402007298189779
"ENSMUSG00000000563"	2588.82836322913	-0.717185625734229	0.161196809830444	-4.44913039214984	8.62186634490303e-06	2.81518428854662e-05
"ENSMUSG00000000567"	29.3414467094838	-1.70838673202115	0.663551029873464	-2.57461243387253	0.0100352464471739	0.0199731460147826
"ENSMUSG00000000568"	550.656172250916	2.27294047267094	0.209894127262206	10.8289855572353	2.50919679830017e-27	3.00408141847549e-26
"ENSMUSG00000000579"	186.073973423276	2.6894191953451	0.303832038425222	8.85166425925491	8.62237534004328e-19	7.15870859036269e-18
"ENSMUSG00000000581"	407.59877407468	-0.0949944229810919	0.224472811770703	-0.423188992162346	0.672157377476968	0.740838950567859
"ENSMUSG00000000594"	984.145762282433	-2.55379770064634	0.218165107106032	-11.7058027038446	1.19027464828635e-31	1.64040034231504e-30
"ENSMUSG00000000600"	376.226307206815	1.14144952713006	0.227443790231822	5.01860053407759	5.20492528959298e-07	1.93858960071203e-06
"ENSMUSG00000000605"	854.431098478823	-1.16294618564464	0.196966949052548	-5.90427069738682	3.54210152528702e-09	1.62311709760081e-08
"ENSMUSG00000000606"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000617"	1.36930639376292	3.61086849788818	3.34263603448424	1.08024578824518	0.280032743478856	NA
"ENSMUSG00000000627"	2.08131461445661	-0.724277946662391	2.37076913841688	-0.305503363834929	0.759982808387431	NA
"ENSMUSG00000000628"	199.658779452521	2.11853716636024	0.287398701027956	7.37142220470287	1.68817268072009e-13	1.04564778797508e-12
"ENSMUSG00000000631"	1687.00732313148	-1.21806534866017	0.188379744779975	-6.46601018640752	1.00624298004689e-10	5.18570558068749e-10
"ENSMUSG00000000632"	1.63471840700056	-0.295526631323218	2.3726609130111	-0.124554937329065	0.90087590528572	NA
"ENSMUSG00000000673"	1926.73422913734	-3.02728729072866	0.167936486021548	-18.0263822498955	1.20951130732683e-72	4.76089175023085e-71
"ENSMUSG00000000682"	38.6214782829458	0.150459130768179	0.530269667059906	0.283740783444024	0.776609037952853	0.827764221795192
"ENSMUSG00000000686"	365.361750223974	-3.91615723129185	0.255937077532133	-15.3012500926138	7.5002050361137e-53	1.8540416485357e-51
"ENSMUSG00000000690"	0.589332251941294	-2.9310383554924	4.21741066487429	-0.694985285617133	0.487064522958137	NA
"ENSMUSG00000000693"	52.3771447259717	-0.143230533524588	0.483433738771752	-0.296277487559082	0.76701817690357	0.819757543670738
